,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Dingle,10.9995,122.6711,77.02,90,100,2.24,PH,moderate rain
1,Ribeira Grande,38.5167,-28.7,65.68,80,52,7.11,PT,broken clouds
2,Rikitea,-23.1203,-134.9692,75.7,79,100,11.05,PF,overcast clouds
3,Carnarvon,-24.8667,113.6333,68.4,40,55,10.67,AU,broken clouds
4,Bend,44.0582,-121.3153,68.09,33,20,8.01,US,few clouds
5,Ovalle,-30.5983,-71.2003,69.6,54,74,4.99,CL,broken clouds
6,Katsuura,35.1333,140.3,72.19,85,100,12.01,JP,overcast clouds
7,Atuona,-9.8,-139.0333,79.18,72,17,14.85,PF,few clouds
8,Noyabrsk,63.1994,75.4507,39.97,66,87,3.51,RU,overcast clouds
9,Albany,42.6001,-73.9662,89.38,47,37,12.19,US,scattered clouds
10,Bluff,-46.6,168.3333,46.35,77,15,6.15,NZ,few clouds
11,Hilo,19.7297,-155.09,81.25,79,16,5.99,US,few clouds
12,Arman,59.7,150.1667,41.81,91,100,8.03,RU,overcast clouds
13,Bredasdorp,-34.5322,20.0403,52.29,59,0,3.74,ZA,clear sky
14,Obregon,11.9566,-85.9636,94.98,38,67,10.58,NI,broken clouds
15,Paamiut,61.994,-49.6678,38.89,95,100,11.54,GL,light rain
16,Maniitsoq,65.4167,-52.9,39.29,93,100,16.13,GL,light rain
17,Fairbanks,64.8378,-147.7164,72.01,38,36,1.01,US,scattered clouds
18,Piacabucu,-10.4056,-36.4344,76.87,80,6,10.02,BR,clear sky
19,Acapulco,16.8634,-99.8901,89.44,56,96,9.62,MX,overcast clouds
20,Leshukonskoye,64.8989,45.7622,54.34,81,43,7.38,RU,scattered clouds
21,Barrow,71.2906,-156.7887,33.82,80,90,11.5,US,overcast clouds
22,Chokurdakh,70.6333,147.9167,57.47,64,33,7.34,RU,scattered clouds
23,Salalah,17.0151,54.0924,82.29,84,68,8.21,OM,broken clouds
24,Jamestown,42.097,-79.2353,85.3,44,1,8.05,US,clear sky
25,Upernavik,72.7868,-56.1549,38.05,87,75,3.8,GL,broken clouds
26,Lasa,46.6166,10.7002,56.62,94,100,5.61,IT,overcast clouds
27,Ushuaia,-54.8,-68.3,26.58,94,23,3.56,AR,few clouds
28,Waris Aliganj,25.0167,85.6333,90.86,44,36,7.72,IN,scattered clouds
29,Tuktoyaktuk,69.4541,-133.0374,35.04,81,51,11.52,CA,broken clouds
30,East London,-33.0153,27.9116,58.84,73,3,10.07,ZA,clear sky
31,Port Alfred,-33.5906,26.891,59.0,76,0,14.25,ZA,clear sky
32,Hermanus,-34.4187,19.2345,58.89,52,0,7.16,ZA,clear sky
33,Kaitangata,-46.2817,169.8464,42.93,84,94,2.55,NZ,overcast clouds
34,Beringovskiy,63.05,179.3167,43.65,74,100,1.16,RU,overcast clouds
35,Punta Arenas,-53.15,-70.9167,39.11,86,71,7.67,CL,broken clouds
36,Chuy,-33.6971,-53.4616,60.17,97,100,8.34,UY,heavy intensity rain
37,Vardo,70.3705,31.1107,40.98,81,40,6.91,NO,scattered clouds
38,Hithadhoo,-0.6,73.0833,81.95,76,100,12.24,MV,overcast clouds
39,Khatanga,71.9667,102.5,33.12,87,96,10.16,RU,overcast clouds
40,Peshkovo,47.0187,39.3885,61.88,90,98,10.51,RU,light rain
41,Mataura,-46.1927,168.8643,41.99,95,82,1.7,NZ,broken clouds
42,Lohardaga,23.4333,84.6833,80.01,60,32,4.25,IN,scattered clouds
43,Bandarbeyla,9.4942,50.8122,79.27,86,36,24.34,SO,scattered clouds
44,La Palma,33.8464,-118.0467,94.03,61,75,5.99,US,broken clouds
45,Dikson,73.5069,80.5464,29.98,98,99,11.05,RU,light snow
46,Torbay,47.6666,-52.7314,57.27,96,90,9.22,CA,fog
47,Wilkinsburg,40.4417,-79.882,88.93,43,40,1.01,US,scattered clouds
48,Dessau,51.8386,12.2456,68.85,93,100,4.72,DE,overcast clouds
49,Gazanjyk,39.2446,55.5154,75.87,45,0,13.24,TM,clear sky
50,Plastun,44.7561,136.2939,53.08,96,100,2.59,RU,overcast clouds
51,Aripuana,-9.1667,-60.6333,86.95,51,81,2.46,BR,broken clouds
52,Saint-Philippe,-21.3585,55.7679,73.47,82,14,1.39,RE,few clouds
53,Tlapehuala,18.2167,-100.5167,100.06,30,90,2.44,MX,overcast clouds
54,Hobart,-42.8794,147.3294,43.27,82,75,5.41,AU,broken clouds
55,Chernyshkovskiy,48.4219,42.2308,60.96,91,95,8.79,RU,overcast clouds
56,Saskatoon,52.1168,-106.6345,76.98,36,75,4.0,CA,broken clouds
57,Waren,53.5167,12.6833,61.02,66,88,7.99,DE,overcast clouds
58,Shumskiy,54.8318,99.1328,44.94,92,100,11.54,RU,light rain
59,Nanortalik,60.1432,-45.2371,41.83,78,100,6.4,GL,overcast clouds
60,Merauke,-8.4667,140.3333,75.51,88,79,8.01,ID,broken clouds
61,Castro,-24.7911,-50.0119,61.21,84,4,3.71,BR,clear sky
62,Tasiilaq,65.6145,-37.6368,41.16,98,100,7.81,GL,light rain
63,Vaini,-21.2,-175.2,74.59,57,67,12.93,TO,broken clouds
64,Busselton,-33.65,115.3333,56.08,84,52,12.93,AU,broken clouds
65,Champaign,40.1334,-88.2001,89.06,37,75,5.01,US,broken clouds
66,Amberley,39.2048,-84.428,87.46,45,20,3.0,US,few clouds
67,Ponta Delgada,37.7333,-25.6667,66.92,77,20,10.36,PT,few clouds
68,Lagoa,39.05,-27.9833,63.61,77,22,3.24,PT,few clouds
69,Miyako,39.6367,141.9525,64.62,74,100,5.41,JP,overcast clouds
70,Hirara,24.8,125.2833,80.8,87,100,19.8,JP,overcast clouds
71,Cabo San Lucas,22.8909,-109.9124,102.81,49,0,10.33,MX,clear sky
72,Nouadhibou,20.931,-17.0347,69.78,68,92,18.41,MR,overcast clouds
73,Valparaiso,-33.0393,-71.6273,60.44,69,0,12.68,CL,clear sky
74,Xining,36.6167,101.7667,57.58,35,100,2.46,CN,overcast clouds
75,Hambantota,6.1241,81.1185,78.42,85,49,14.52,LK,scattered clouds
76,Esperance,-33.8667,121.9,55.92,61,75,15.48,AU,broken clouds
77,Samarai,-10.6167,150.6667,78.49,86,99,15.48,PG,overcast clouds
78,Sitka,57.0531,-135.33,52.16,79,98,3.38,US,light rain
79,Sangar,63.9242,127.4739,49.86,70,100,12.08,RU,overcast clouds
80,Ponta Do Sol,32.6667,-17.1,67.01,73,37,4.54,PT,scattered clouds
81,Neiafu,-18.65,-173.9833,75.54,68,99,17.02,TO,overcast clouds
82,Chulym,55.0997,80.9572,52.39,81,96,11.23,RU,overcast clouds
83,Ust-Maya,60.4167,134.5333,63.52,63,15,2.17,RU,few clouds
84,Oranjemund,-28.55,16.4333,68.99,29,27,11.99,NA,scattered clouds
85,Hasaki,35.7333,140.8333,66.6,79,100,7.92,JP,light rain
86,Barinas,8.6226,-70.2075,80.31,83,91,7.99,VE,overcast clouds
87,Bacungan,9.9106,118.7022,80.55,85,100,3.87,PH,overcast clouds
88,Ndjole,-0.1783,10.7649,75.58,96,77,1.97,GA,light rain
89,Ketchikan,55.3422,-131.6461,47.26,94,100,6.04,US,moderate rain
90,Faanui,-16.4833,-151.75,80.53,74,74,7.43,PF,broken clouds
91,Avarua,-21.2078,-159.775,75.25,78,40,8.05,CK,scattered clouds
92,Qaanaaq,77.484,-69.3632,38.82,83,100,5.14,GL,overcast clouds
93,Constitucion,-35.3333,-72.4167,54.86,63,100,8.46,CL,overcast clouds
94,Clyde River,70.4692,-68.5914,32.23,93,90,16.11,CA,light snow
95,Cherskiy,68.75,161.3,64.83,35,94,22.12,RU,overcast clouds
96,Aksarka,66.5606,67.7975,41.83,58,88,6.44,RU,overcast clouds
97,New Norfolk,-42.7826,147.0587,42.93,75,100,4.0,AU,overcast clouds
98,Kapaa,22.0752,-159.319,85.98,70,42,4.0,US,scattered clouds
99,Pevek,69.7008,170.3133,43.11,84,96,9.33,RU,overcast clouds
100,Thompson,55.7435,-97.8558,67.5,58,100,4.7,CA,overcast clouds
101,Bac Lieu,9.285,105.7244,82.17,81,100,10.69,VN,overcast clouds
102,Lebu,-37.6167,-73.65,51.75,72,100,12.44,CL,overcast clouds
103,Semey,50.4111,80.2275,48.18,54,6,6.13,KZ,clear sky
