,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
19,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
28,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
30,Kutum,SD,88.7,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
37,Acapulco,MX,87.8,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
43,Butaritari,KI,82.63,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
73,San Patricio,US,85.01,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
74,Bien Hoa,VN,82.38,broken clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
82,Colon,PA,84.24,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
83,Bhola,BD,83.64,clear sky,22.6833,90.65,Student Hostel (Shahbaz Khan Hostel)
86,Foam Lake,CA,86.02,clear sky,51.65,-103.5343,Fishing Lake Lodge LTD
93,Champerico,GT,89.6,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
118,Itarema,BR,82.35,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
125,Jose Bonifacio,BR,88.86,clear sky,-21.0528,-49.6883,HOTEL DOS VIAJANTES
129,Madras,IN,85.96,few clouds,13.0878,80.2785,City home
140,Aden,YE,88.21,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
157,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
159,Umm Lajj,SA,84.33,clear sky,25.0213,37.2685,Moon light Furnished Units
170,Resistencia,AR,82.06,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
173,Hithadhoo,MV,83.59,overcast clouds,-0.6,73.0833,Scoop Guest House
177,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
189,Edgewater,US,86.18,light rain,28.9889,-80.9023,Islander Beach Resort
195,Vung Tau,VN,83.03,broken clouds,10.346,107.0843,Green hotel
202,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
